City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
32,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,94,40,31.74,scattered clouds
33,Kirakira,SB,-10.4544,161.9205,83.19,76,24,4.68,few clouds
34,Atuona,PF,-9.8,-139.0333,78.13,70,56,12.33,broken clouds
35,Faanui,PF,-16.4833,-151.75,79.75,76,83,6.82,light rain
36,Flinders,AU,-34.5833,150.8552,66.18,46,25,4.0,scattered clouds
37,Guerrero Negro,MX,27.9769,-114.0611,59.76,79,0,14.63,clear sky
38,Arraial Do Cabo,BR,-22.9661,-42.0278,66.92,57,3,22.28,clear sky
39,Beeville,US,28.4008,-97.7483,79.29,73,0,14.97,clear sky
40,Muncar,ID,-8.4333,114.3333,83.95,74,93,4.68,overcast clouds
41,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,75,13.8,broken clouds
42,Staszow,PL,50.5631,21.1659,44.92,77,12,2.57,few clouds
43,Voi,KE,-3.3945,38.563,66.02,90,35,4.5,scattered clouds
44,Chokurdakh,RU,70.6333,147.9167,31.59,96,100,6.53,overcast clouds
45,Le Vauclin,MQ,14.5452,-60.8388,80.65,78,75,10.36,broken clouds
46,Lata,PT,40.1629,-8.3327,53.92,89,17,2.68,few clouds
47,Avarua,CK,-21.2078,-159.775,78.13,78,26,14.43,light rain
48,Sorland,NO,67.667,12.6934,42.66,80,12,10.38,few clouds
49,La Asuncion,VE,11.0333,-63.8628,80.33,89,100,14.97,overcast clouds
50,Emerald,AU,-23.5333,148.1667,73.35,48,100,14.72,overcast clouds
51,Conde,BR,-7.2597,-34.9075,74.66,100,0,2.3,clear sky
52,Nikolskoye,RU,59.7035,30.7861,45.81,93,99,2.95,overcast clouds
53,Ocos,GT,14.5094,-92.1933,84.65,70,89,3.24,overcast clouds
54,Saldanha,ZA,-33.0117,17.9442,57.97,75,11,10.94,few clouds
55,Tuatapere,NZ,-46.1333,167.6833,51.85,71,46,13.02,scattered clouds
56,Chor,PK,25.5167,69.7667,89.22,48,0,14.88,clear sky
57,Tacuarembo,UY,-31.7333,-55.9833,43.56,88,0,6.22,clear sky
58,Margate,GB,51.3813,1.3862,61.3,90,100,4.79,overcast clouds
59,Bandundu,CD,-3.3167,17.3667,72.91,92,100,0.67,overcast clouds
60,Ndjole,GA,-0.1783,10.7649,74.7,99,100,1.12,light rain
61,Hazaribag,IN,23.9833,85.35,99.27,17,18,0.43,few clouds
62,Port Elizabeth,ZA,-33.918,25.5701,66.49,81,0,14.97,clear sky
63,Jamestown,US,42.097,-79.2353,50.52,93,100,4.61,overcast clouds
64,Umkomaas,ZA,-30.2067,30.7978,65.68,58,0,6.89,clear sky
65,Seymchan,RU,62.8833,152.4333,48.51,47,32,6.11,scattered clouds
66,Jammalamadugu,IN,14.8333,78.4,85.1,64,100,1.77,light rain
67,Khatanga,RU,71.9667,102.5,32.95,99,100,4.5,overcast clouds
68,Calabozo,VE,8.9242,-67.4293,79.27,73,100,4.54,overcast clouds
69,San Pedro,PH,14.35,121.0167,89.31,70,85,10.25,overcast clouds
70,Chumikan,RU,54.7183,135.315,36.09,90,98,6.51,overcast clouds
71,Ixtapa,MX,20.7,-105.2,71.73,76,46,1.25,scattered clouds
72,Longyearbyen,SJ,78.2186,15.6401,28.24,74,75,9.22,light snow
73,Butaritari,KI,3.0707,172.7902,81.86,71,97,12.12,overcast clouds
74,Srednekolymsk,RU,67.45,153.6833,50.13,46,40,5.97,scattered clouds
75,Esperance,AU,-33.8667,121.9,64.9,70,64,7.76,broken clouds
76,Amahai,ID,-3.3333,128.9167,83.95,76,69,4.45,broken clouds
77,Sobolevo,RU,54.4299,31.8996,40.69,87,42,7.76,scattered clouds
78,Saskylakh,RU,71.9167,114.0833,25.65,90,16,10.85,few clouds
79,Mehnagar,IN,25.8833,83.1167,102.42,14,67,7.07,broken clouds
80,Estelle,US,29.8458,-90.1067,82.0,72,90,3.0,overcast clouds
81,Nanortalik,GL,60.1432,-45.2371,35.56,85,9,3.49,clear sky
82,East London,ZA,-33.0153,27.9116,72.68,46,16,5.08,few clouds
83,Naifaru,MV,5.4444,73.3657,82.67,78,99,19.08,overcast clouds
84,Iqaluit,CA,63.7506,-68.5145,26.33,86,100,4.61,light snow
85,Kruisfontein,ZA,-34.0033,24.7314,59.88,85,100,6.78,overcast clouds
86,Lunglei,IN,22.8833,92.7333,83.01,59,15,1.07,few clouds
87,Cape Town,ZA,-33.9258,18.4232,55.35,90,43,1.99,light rain
88,Kaitangata,NZ,-46.2817,169.8464,56.88,51,36,15.82,scattered clouds
89,Caravelas,BR,-17.7125,-39.2481,67.48,57,93,6.67,overcast clouds
90,Lively,CA,46.4334,-81.1498,42.12,82,44,4.56,scattered clouds
91,Yeniseysk,RU,58.4497,92.1703,68.54,45,21,0.27,few clouds
92,Ribeira Grande,PT,38.5167,-28.7,59.07,73,81,23.69,broken clouds
93,Castro,BR,-24.7911,-50.0119,43.38,90,99,10.07,overcast clouds
94,Bogandinskiy,RU,56.8937,65.8938,48.52,82,100,8.7,light rain
95,New Norfolk,AU,-42.7826,147.0587,56.66,56,89,3.0,overcast clouds
96,Ilebo,CD,-4.3167,20.5833,69.73,89,65,1.59,broken clouds
97,Lenger,KZ,42.183,69.8839,67.44,45,2,1.14,clear sky
98,Pisco,PE,-13.7,-76.2167,63.01,91,80,3.04,broken clouds
99,Sebastian,US,35.1668,-94.2669,77.56,83,57,4.16,broken clouds
100,Terrace,CA,54.5163,-128.6035,49.59,91,100,3.36,light rain
101,Hobart,AU,-42.8794,147.3294,57.02,58,75,19.57,broken clouds
102,Viedma,AR,-40.8135,-62.9967,43.79,62,96,11.83,overcast clouds
103,Husavik,IS,66.0449,-17.3389,41.77,96,100,1.03,overcast clouds
104,Tonekabon,IR,36.8163,50.8738,66.78,71,0,2.75,clear sky
105,Ahipara,NZ,-35.1667,173.1667,64.26,92,100,13.27,overcast clouds
106,Yining,CN,29.0361,114.5636,64.31,95,100,0.87,overcast clouds
107,Auki,SB,-8.7676,160.7034,82.58,76,26,3.78,scattered clouds
108,Sao Joao Dos Patos,BR,-6.495,-43.7022,73.38,90,100,4.12,overcast clouds
109,Morondava,MG,-20.2833,44.2833,70.03,68,0,8.46,clear sky
110,Bengkulu,ID,-3.8004,102.2655,83.77,67,25,2.68,scattered clouds
111,Tiksi,RU,71.6872,128.8694,29.7,87,100,11.99,overcast clouds
112,Dikson,RU,73.5069,80.5464,30.94,95,99,15.64,overcast clouds
113,Kodiak,US,57.79,-152.4072,51.3,58,3,4.47,clear sky
114,Thompson,CA,55.7435,-97.8558,37.51,53,27,6.42,scattered clouds
115,Mizdah,LY,31.4451,12.9801,66.25,39,0,5.19,clear sky
116,Newport,GB,51.5877,-2.9984,53.71,93,84,4.76,broken clouds
117,San Policarpo,PH,12.1791,125.5072,83.39,76,95,8.9,overcast clouds
118,Wanning,CN,18.8003,110.3967,83.34,73,23,9.28,few clouds
119,Medicine Hat,CA,50.0501,-110.6683,61.23,32,75,31.07,dust
120,San Cristobal,VE,7.7669,-72.225,66.54,99,100,2.71,overcast clouds
121,Sakakah,SA,29.9697,40.2064,77.34,15,86,3.89,overcast clouds
122,Ahuimanu,US,21.4447,-157.8378,77.36,81,100,4.0,overcast clouds
123,Georgetown,MY,5.4112,100.3354,87.73,74,20,2.3,few clouds
124,Airai,TL,-8.9266,125.4092,74.37,49,93,4.59,overcast clouds
125,Kinablangan,PH,7.6947,126.5503,83.34,77,66,4.45,broken clouds
126,Sitka,US,57.0531,-135.33,54.57,61,93,2.73,overcast clouds
